item_id,true_label,predicted_label,confidence,correct,return_risk
1977,T-shirt,T-shirt,0.9999,True,Low
3880,Pullover,Dress,0.9773,False,Low
52,Sandal,Sandal,1.0,True,Low
2551,Shirt,Coat,0.5326,False,Medium
2246,Ankle boot,Ankle boot,1.0,True,Low
270,Trouser,Trouser,1.0,True,Low
601,Ankle boot,Ankle boot,1.0,True,Low
2441,Coat,Coat,0.9978,True,Low
3286,Pullover,Pullover,0.9982,True,Low
2967,Coat,Coat,0.8713,True,Low
4712,Sneaker,Sneaker,0.9978,True,Low
9032,Shirt,Pullover,0.7111,False,Medium
1787,Dress,Dress,0.9753,True,Low
1698,Shirt,Shirt,0.9439,True,Low
3225,Shirt,Shirt,0.7452,True,Medium
403,T-shirt,T-shirt,0.9764,True,Low
3534,Pullover,Coat,0.79,False,Medium
6046,Trouser,Trouser,0.9951,True,Low
3047,Dress,Dress,0.8702,True,Low
8862,T-shirt,T-shirt,0.9998,True,Low
7146,Sandal,Sandal,1.0,True,Low
507,Pullover,Pullover,0.999,True,Low
4476,Trouser,Trouser,0.9998,True,Low
1677,Sandal,Sandal,0.9998,True,Low
2020,Pullover,Pullover,0.7546,True,Medium
1682,Sneaker,Sandal,0.6571,False,Medium
1649,Shirt,Shirt,0.986,True,Low
2421,Coat,Coat,0.9189,True,Low
7537,Coat,Coat,0.9889,True,Low
4793,Sandal,Sandal,1.0,True,Low
9636,Bag,Bag,0.9974,True,Low
1015,Bag,Bag,1.0,True,Low
8921,Ankle boot,Ankle boot,1.0,True,Low
3044,Pullover,Pullover,0.9987,True,Low
3498,Sneaker,Sneaker,1.0,True,Low
5524,Trouser,Trouser,1.0,True,Low
9554,Dress,Dress,0.5554,True,Medium
2846,Ankle boot,Ankle boot,0.9999,True,Low
835,Trouser,Trouser,1.0,True,Low
4863,Sneaker,Sneaker,1.0,True,Low
3297,Pullover,Coat,0.7863,False,Medium
7961,Sneaker,Sneaker,0.9115,True,Low
3145,Shirt,Shirt,0.9847,True,Low
6115,Ankle boot,Ankle boot,0.9389,True,Low
1901,Trouser,Trouser,1.0,True,Low
1411,Sandal,Sandal,1.0,True,Low
623,Ankle boot,Ankle boot,0.909,True,Low
3503,Trouser,Trouser,1.0,True,Low
3066,Sneaker,Sneaker,0.9998,True,Low
641,Sandal,Sandal,1.0,True,Low
2170,Sandal,Sandal,1.0,True,Low
6821,T-shirt,T-shirt,0.9996,True,Low
7418,Ankle boot,Ankle boot,1.0,True,Low
1719,Coat,Coat,0.9977,True,Low
1302,Trouser,Trouser,1.0,True,Low
7827,Dress,Dress,1.0,True,Low
5792,Pullover,Pullover,0.9062,True,Low
9925,Bag,Bag,0.9997,True,Low
8337,T-shirt,T-shirt,0.9999,True,Low
3435,Pullover,Pullover,0.9988,True,Low
3656,Ankle boot,Ankle boot,0.9994,True,Low
5548,Dress,Dress,0.9933,True,Low
65,Trouser,Trouser,1.0,True,Low
2417,Shirt,Shirt,0.524,True,Medium
3692,Ankle boot,Ankle boot,1.0,True,Low
3999,Ankle boot,Sandal,0.5878,False,Medium
5497,Shirt,Coat,0.766,False,Medium
438,Trouser,Trouser,1.0,True,Low
3566,Sandal,Sandal,1.0,True,Low
6931,Bag,Bag,1.0,True,Low
1818,Trouser,Trouser,1.0,True,Low
3605,Ankle boot,Ankle boot,1.0,True,Low
2794,Coat,Coat,0.9918,True,Low
5077,Ankle boot,Sneaker,0.9198,False,Low
2465,Coat,Coat,0.9994,True,Low
4312,Bag,Bag,1.0,True,Low
5233,Trouser,Trouser,1.0,True,Low
6475,Sneaker,Sneaker,0.982,True,Low
4466,Sandal,Sandal,1.0,True,Low
4381,T-shirt,T-shirt,0.9041,True,Low
5120,Coat,Coat,0.9743,True,Low
4562,Pullover,Pullover,0.9984,True,Low
378,Coat,Dress,0.9558,False,Low
2759,T-shirt,T-shirt,0.9918,True,Low
6959,Coat,Coat,0.9037,True,Low
6781,Trouser,Trouser,1.0,True,Low
